CAM,DBA,A_PORT,AIRNAME,BUILD,CUISINE_DESC,INS_DATE,ACTION_1,V_CODE,V_DESC,C_FLAG,SCR,GRD,GRD_DATE,REC_DATE,INS_TYPE
40560896,"YAKITORI TAISHO",ABE,"Lehigh Valley International Airport",5,Japanese,13/08/2015,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",9,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41696945,"GOLDEN KRUST CARIBBEAN BAKERY & GRILL",ABE,"Lehigh Valley International Airport",13858,Caribbean,14/10/2015,"Violations were cited in the following area(s).",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41701178,"CRAB SPOT RESTAURANT",ABE,"Lehigh Valley International Airport",833,Seafood,28/07/2016,"Violations were cited in the following area(s).",09C,"Food contact surface not properly maintained.","Not Critical",12,A,28/07/2016,28/08/2017,"Cycle Inspection / Initial Inspection"
41374557,"M NOODLE SHOP",ABE,"Lehigh Valley International Airport",549,Chinese,19/01/2017,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",10,A,19/01/2017,28/08/2017,"Cycle Inspection / Re-inspection"
41688137,"LOWER SUITES STOLI BAR SOUTH CLUB LOUNGE",ABE,"Lehigh Valley International Airport",620,American,25/01/2017,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,A,25/01/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
40570634,"AN BEAL BOCHT CAFE",ABE,"Lehigh Valley International Airport",445,American,14/08/2017,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",9,A,14/08/2017,28/08/2017,"Cycle Inspection / Re-inspection"
41552184,"NOM WAH TEA/DIM SUM PALOR",ABE,"Lehigh Valley International Airport",13,Chinese,2/09/2014,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,18,B,2/09/2014,28/08/2017,"Cycle Inspection / Re-inspection"
41696159,"LUIGI'S PIZZA & PASTA",ABE,"Lehigh Valley International Airport",119,Pizza,27/10/2014,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,27/10/2014,28/08/2017,"Cycle Inspection / Re-inspection"
50000705,"ANARKALI INDIAN FOOD",ABE,"Lehigh Valley International Airport",1125,Indian,25/06/2014,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",31,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41575449,"MIDNIGHT EXPRESS",ABE,"Lehigh Valley International Airport",1715,American,19/12/2014,"Violations were cited in the following area(s).",04M,"Live roaches present in facility's food and/or non-food areas.",Critical,25,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41690659,"NEW PANDA GARDEN",ABE,"Lehigh Valley International Airport",5917,Chinese,28/08/2014,"Violations were cited in the following area(s).",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50018449,"SPRING FISH VILLAGE",ABE,"Lehigh Valley International Airport",13621,Chinese,21/03/2016,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",19,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41611667,"SERVICE BAR 7",ABE,"Lehigh Valley International Airport",11000,American,7/04/2016,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",7,A,7/04/2016,28/08/2017,"Cycle Inspection / Initial Inspection"
41006018,"THE FIVE SPOT",ABE,"Lehigh Valley International Airport",459,"Soul Food",12/05/2016,"Violations were cited in the following area(s).",04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,16,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50017063,MEZQUITE,ABE,"Lehigh Valley International Airport",4506,Mexican,31/01/2017,"Violations were cited in the following area(s).",06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,17,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40743578,"EL RUMBERO BAR RESTAURANT",ABE,"Lehigh Valley International Airport",8205,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",16/06/2017,"Violations were cited in the following area(s).",04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,10,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50055935,"TROPICAL REVIVAL RESTAURANT & CATERING",ABE,"Lehigh Valley International Airport",1240C,Caribbean,15/11/2016,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,15/11/2016,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
41468267,"ICHI UMI",ABE,"Lehigh Valley International Airport",6,Japanese,26/09/2016,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,A,26/09/2016,28/08/2017,"Cycle Inspection / Re-inspection"
50047546,"BROOKLYN DINER",ABE,"Lehigh Valley International Airport",5922-24,American,25/04/2017,"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",47,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50000892,"ANABLE BASIN SAILING",ABE,"Lehigh Valley International Airport",Apr-40,American,20/05/2015,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,20/05/2015,28/08/2017,"Cycle Inspection / Initial Inspection"
50012840,"MR. WONTON",ABE,"Lehigh Valley International Airport",7805,Chinese,16/06/2015,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",7,A,16/06/2015,28/08/2017,"Cycle Inspection / Re-inspection"
41312436,"BAGEL WORLD",ABE,"Lehigh Valley International Airport",223,Bagels/Pretzels,24/07/2014,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50042390,"BEST EAST STAR RESTAURANT",ABE,"Lehigh Valley International Airport",8024,Chinese,7/02/2017,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",9,A,7/02/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
50032836,"HAPPY RESTAURANT",ABE,"Lehigh Valley International Airport",4028,Chinese,17/09/2015,"Violations were cited in the following area(s).",02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,25,,,28/08/2017,"Cycle Inspection / Compliance Inspection"
40668380,"WOLF AND LAMB",ABE,"Lehigh Valley International Airport",10,Steak,16/12/2014,"Violations were cited in the following area(s).",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,16/12/2014,28/08/2017,"Cycle Inspection / Re-inspection"
50060117,KBBQ,ABE,"Lehigh Valley International Airport",672,Korean,26/06/2017,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,A,26/06/2017,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
41681367,"JUMBO CHINESE KITCHEN",ABE,"Lehigh Valley International Airport",11304,Chinese,13/07/2015,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",38,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41184464,"REGAL CINEMAS",ABE,"Lehigh Valley International Airport",8028,American,17/10/2016,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",27,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41473028,"OLD SICHUAN CUISINE",ABE,"Lehigh Valley International Airport",65,Chinese,1/12/2014,"Violations were cited in the following area(s).",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41427683,"HUDSON'S MARKET @ SHERATON NEW YORK",ABE,"Lehigh Valley International Airport",811,American,2/04/2015,"Violations were cited in the following area(s).",06A,"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",Critical,11,A,2/04/2015,28/08/2017,"Cycle Inspection / Initial Inspection"
41454995,"MANOLO TAPAS RESTAURANT",ABE,"Lehigh Valley International Airport",4161,Tapas,21/01/2016,"Violations were cited in the following area(s).",02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,17,B,21/01/2016,28/08/2017,"Cycle Inspection / Re-inspection"
50003400,"THE CHESTER",ABE,"Lehigh Valley International Airport",18,American,27/11/2015,"Violations were cited in the following area(s).",20F,"Current letter grade card not posted.","Not Critical",,,,28/08/2017,"Administrative Miscellaneous / Initial Inspection"
41278299,"LEMON LEAVES",ABE,"Lehigh Valley International Airport",55,Chinese/Japanese,24/08/2016,"Violations were cited in the following area(s).",04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11,A,24/08/2016,28/08/2017,"Cycle Inspection / Re-inspection"
41704194,"THE BREAD FACTORY",ABE,"Lehigh Valley International Airport",935,American,17/03/2017,"Violations were cited in the following area(s).",06F,"Wiping cloths soiled or not stored in sanitizing solution.",Critical,18,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40782999,WENDY'S,ABE,"Lehigh Valley International Airport",26,Hamburgers,23/02/2017,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,23/02/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
41105300,"DUNKIN' DONUTS, BASKIN ROBBINS",ABE,"Lehigh Valley International Airport",1710,American,18/11/2014,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",16,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50003346,"BOMBAY SANDWICH CO",ABE,"Lehigh Valley International Airport",48,Vegetarian,3/06/2016,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",10,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50000345,"BROTHERS BAGELS",ABE,"Lehigh Valley International Airport",285,American,8/01/2016,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",17,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41263738,"MEXICAN FAST FOOD",ABE,"Lehigh Valley International Airport",2620,Mexican,3/05/2016,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50003451,"CHINA AAA",ABE,"Lehigh Valley International Airport",8210,Chinese,5/12/2013,"Violations were cited in the following area(s).",04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,22,B,5/12/2013,28/08/2017,"Pre-permit (Operational) / Re-inspection"
41411901,"GULLUOGLU BAKLAVA & CAFE",ABE,"Lehigh Valley International Airport",982,Turkish,27/05/2015,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,27/05/2015,28/08/2017,"Cycle Inspection / Re-inspection"
41223834,"CHIPOTLE MEXICAN GRILL",ABE,"Lehigh Valley International Airport",350,Mexican,20/01/2015,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,52,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41313211,"AFRICAN AMERICAN BEST FOOD",ABE,"Lehigh Valley International Airport",410,African,18/01/2017,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,29,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41708433,"CHINA WOK II",ABE,"Lehigh Valley International Airport",10315,Chinese,16/08/2017,"Establishment re-opened by DOHMH",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,Z,16/08/2017,28/08/2017,"Cycle Inspection / Reopening Inspection"
41179165,"BROOK AVENUE DELI & PIZZA",ABE,"Lehigh Valley International Airport",348,Pizza,2/08/2017,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,2/08/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
41685305,"BONAO CHIMI RESTAURANT",ABE,"Lehigh Valley International Airport",7614,Spanish,14/01/2015,"Violations were cited in the following area(s).",04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,27,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50015102,"ENZO'S PIZZERIA",ABE,"Lehigh Valley International Airport",1623,Italian,16/05/2016,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,28/08/2017,"Cycle Inspection / Initial Inspection"
40602855,STARBUCKS,ABE,"Lehigh Valley International Airport",462,CafÃ©/Coffee/Tea,9/11/2015,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,A,9/11/2015,28/08/2017,"Cycle Inspection / Initial Inspection"
41363184,"BEAN N BEAN",ABE,"Lehigh Valley International Airport",71,American,1/04/2016,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,1/04/2016,28/08/2017,"Cycle Inspection / Initial Inspection"
41177037,"QUEEN'S PIZZA",ABE,"Lehigh Valley International Airport",11614,Pizza,7/11/2016,"Violations were cited in the following area(s).",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,18,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41010981,"THE BROOKLYN TABERNACLE",ABE,"Lehigh Valley International Airport",17,American,24/06/2014,"Violations were cited in the following area(s).",02B,"Hot food item not held at or above 140Âº F.",Critical,7,A,24/06/2014,28/08/2017,"Cycle Inspection / Re-inspection"
50046939,"ARMANDO'S PIZZA",ABE,"Lehigh Valley International Airport",5119,Pizza,3/06/2017,"Violations were cited in the following area(s).",06F,"Wiping cloths soiled or not stored in sanitizing solution.",Critical,12,A,3/06/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
41100006,"PLAKA RESTAURANT",ABE,"Lehigh Valley International Airport",406,Greek,9/06/2015,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",18,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50045888,"WHITE HORSE TAVERN",ABE,"Lehigh Valley International Airport",25,American,17/10/2016,"Violations were cited in the following area(s).",09C,"Food contact surface not properly maintained.","Not Critical",24,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41600159,"JUMBO'S HAMBURGERS",ABE,"Lehigh Valley International Airport",274,Hamburgers,22/03/2016,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",26,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41284638,MCDONALD'S,ABE,"Lehigh Valley International Airport",145,Hamburgers,6/04/2017,"Violations were cited in the following area(s).",06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A,6/04/2017,28/08/2017,"Cycle Inspection / Initial Inspection"
50064086,"Little Italy",ABE,"Lehigh Valley International Airport",180,Italian,5/07/2017,"Violations were cited in the following area(s).",10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",17,B,5/07/2017,28/08/2017,"Pre-permit (Operational) / Re-inspection"
50019199,"TOKYO BAY",ABE,"Lehigh Valley International Airport",611,Japanese,7/03/2016,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,9,A,7/03/2016,28/08/2017,"Cycle Inspection / Re-inspection"
50000881,"ROSARINA BAKERY",ABE,"Lehigh Valley International Airport",5219,Bakery,29/10/2015,"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.",06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,63,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41083735,"PLAZA TULCINGO RESTAURANT",ABE,"Lehigh Valley International Airport",10,Mexican,8/09/2016,"Violations were cited in the following area(s).",06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,33,C,8/09/2016,28/08/2017,"Cycle Inspection / Re-inspection"
50005163,"FORTUNE BAKERY",ABE,"Lehigh Valley International Airport",5612,Chinese,8/07/2014,"Violations were cited in the following area(s).",02G,"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",Critical,56,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41180783,"O'SAKE JAPANESE RESTAURANT",ABE,"Lehigh Valley International Airport",263,Japanese,16/10/2014,"Violations were cited in the following area(s).",10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",46,,,28/08/2017,"Cycle Inspection / Initial Inspection"
50014239,"HUNGRY BIRD",ABE,"Lehigh Valley International Airport",980,Indian,4/11/2015,"Violations were cited in the following area(s).",04M,"Live roaches present in facility's food and/or non-food areas.",Critical,10,A,4/11/2015,28/08/2017,"Cycle Inspection / Re-inspection"
41590345,"TWO DOOR TAVERN",ABE,"Lehigh Valley International Airport",116,American,14/01/2016,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",6,A,14/01/2016,28/08/2017,"Cycle Inspection / Re-inspection"
50005674,"Daisy's Diner",ABE,"Lehigh Valley International Airport",452,American,3/02/2015,"Violations were cited in the following area(s).",03C,"Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized.",Critical,20,B,3/02/2015,28/08/2017,"Cycle Inspection / Re-inspection"
40400129,"LA CARIDAD RESTAURANT",ABE,"Lehigh Valley International Airport",2092,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/06/2014,"Violations were cited in the following area(s).",03A,"Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.",Critical,22,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41117050,"28 NOODLES",ABE,"Lehigh Valley International Airport",417,Chinese,12/06/2015,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,A,12/06/2015,28/08/2017,"Cycle Inspection / Initial Inspection"
50038353,"TOWERS RESTAURANT AND CATERING",ABE,"Lehigh Valley International Airport",27248,Continental,31/12/2015,"Violations were cited in the following area(s).",16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.","Not Critical",,,,28/08/2017,"Trans Fat / Initial Inspection"
40581917,"EMPORIUM BRASIL RESTAURANT",ABE,"Lehigh Valley International Airport",15,Brazilian,24/09/2015,"Violations were cited in the following area(s).",09B,"Thawing procedures improper.","Not Critical",9,A,24/09/2015,28/08/2017,"Cycle Inspection / Initial Inspection"
41547073,"TACO KING CHINESE REST",ABE,"Lehigh Valley International Airport",61A,Chinese,28/09/2015,"Violations were cited in the following area(s).",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,,,28/08/2017,"Cycle Inspection / Initial Inspection"
41412192,"IMPERIAL TASTE",ABE,"Lehigh Valley International Airport",22142,Chinese,17/01/2017,"Violations were cited in the following area(s).",22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.","Not Critical",,,,28/08/2017,"Administrative Miscellaneous / Initial Inspection"
50054588,"THE JUILLIARD SCHOOL(ROSE CAFE)",ABE,"Lehigh Valley International Airport",165,American,21/10/2016,"Violations were cited in the following area(s).",10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,21/10/2016,28/08/2017,"Pre-permit (Operational) / Initial Inspection"
41670338,"A ASO SUSHI",ABE,"Lehigh Valley International Airport",1103,Japanese,27/05/2015,"Violations were cited in the following area(s).",08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",21,,,28/08/2017,"Cycle Inspection / Initial Inspection"
