Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
38,1/7/2011,37.64,3.287,NA,NA,NA,NA,NA,127.1917742,14.021,FALSE
39,1/7/2011,52.74,2.976,NA,NA,NA,NA,NA,210.1842358,8.395,FALSE
40,1/7/2011,24.05,3.193,NA,NA,NA,NA,NA,132.8823226,5.114,FALSE
41,1/7/2011,23.76,2.882,NA,NA,NA,NA,NA,191.3683815,7.241,FALSE
42,1/7/2011,43.43,3.287,NA,NA,NA,NA,NA,127.1917742,8.744,FALSE
43,1/7/2011,40.47,2.976,NA,NA,NA,NA,NA,203.4267005,10.398,FALSE
44,1/7/2011,16.94,2.891,NA,NA,NA,NA,NA,127.1917742,7.224,FALSE
45,1/7/2011,34.32,3.193,NA,NA,NA,NA,NA,182.5983058,8.549,FALSE
4,1/14/2011,31.6,2.992,NA,NA,NA,NA,NA,127.3009355,6.51,FALSE
5,1/14/2011,37.74,2.983,NA,NA,NA,NA,NA,212.008514,6.634,FALSE
6,1/14/2011,38.37,2.983,NA,NA,NA,NA,NA,212.9655882,6.858,FALSE
7,1/14/2011,11.32,2.911,NA,NA,NA,NA,NA,191.4784939,8.818,FALSE
8,1/14/2011,31.62,2.983,NA,NA,NA,NA,NA,214.7930991,6.262,FALSE
9,1/14/2011,36.43,2.983,NA,NA,NA,NA,NA,214.9749587,6.416,FALSE
10,1/14/2011,49.98,3.312,NA,NA,NA,NA,NA,127.3009355,8.744,FALSE
11,1/14/2011,45.34,2.983,NA,NA,NA,NA,NA,214.7470729,7.551,FALSE
12,1/14/2011,43.15,3.312,NA,NA,NA,NA,NA,127.3009355,14.021,FALSE
13,1/14/2011,20.6,2.903,NA,NA,NA,NA,NA,127.3009355,7.47,FALSE
14,1/14/2011,24.78,3.205,NA,NA,NA,NA,NA,182.6585782,8.549,FALSE
15,1/14/2011,19.53,3.367,NA,NA,NA,NA,NA,132.9510645,7.771,FALSE
16,1/14/2011,17.46,2.911,NA,NA,NA,NA,NA,191.4784939,6.614,FALSE
17,1/14/2011,16.57,2.903,NA,NA,NA,NA,NA,127.3009355,6.866,FALSE
18,1/14/2011,22.69,3.215,NA,NA,NA,NA,NA,132.9510645,9.131,FALSE
19,1/14/2011,21.68,3.367,NA,NA,NA,NA,NA,132.9510645,7.771,FALSE
20,1/14/2011,20.39,3.205,NA,NA,NA,NA,NA,204.7026042,7.343,FALSE
21,1/14/2011,34.14,2.983,NA,NA,NA,NA,NA,211.1176713,8.028,FALSE
22,1/14/2011,24.76,3.215,NA,NA,NA,NA,NA,136.803477,8.458,FALSE
23,1/14/2011,18.2,3.215,NA,NA,NA,NA,NA,132.9510645,5.114,FALSE
24,1/14/2011,22.41,3.367,NA,NA,NA,NA,NA,132.9510645,8.252,FALSE
25,1/14/2011,18.3,3.205,NA,NA,NA,NA,NA,204.7026042,7.343,FALSE
26,1/14/2011,16.7,3.215,NA,NA,NA,NA,NA,132.9510645,7.907,FALSE
27,1/14/2011,25.7,3.367,NA,NA,NA,NA,NA,136.803477,7.827,FALSE
28,1/14/2011,43.15,3.312,NA,NA,NA,NA,NA,127.3009355,14.021,FALSE
29,1/14/2011,24.76,3.215,NA,NA,NA,NA,NA,132.9510645,10.256,FALSE
30,1/14/2011,34.14,2.983,NA,NA,NA,NA,NA,211.1176713,8.028,FALSE
31,1/14/2011,34.14,2.983,NA,NA,NA,NA,NA,211.1176713,8.028,FALSE
32,1/14/2011,21.69,2.911,NA,NA,NA,NA,NA,191.4784939,8.818,FALSE
33,1/14/2011,53.63,3.312,NA,NA,NA,NA,NA,127.3009355,8.951,FALSE
34,1/14/2011,30.75,2.992,NA,NA,NA,NA,NA,127.3009355,10.398,FALSE
35,1/14/2011,25.7,3.205,NA,NA,NA,NA,NA,136.803477,8.549,FALSE
36,1/14/2011,42.87,2.971,NA,NA,NA,NA,NA,210.2379731,8.395,FALSE
37,1/14/2011,42.87,2.983,NA,NA,NA,NA,NA,210.2379731,8.395,FALSE
38,1/14/2011,43.15,3.312,NA,NA,NA,NA,NA,127.3009355,14.021,FALSE
39,1/14/2011,41.74,2.983,NA,NA,NA,NA,NA,210.2379731,8.395,FALSE
40,1/14/2011,18.55,3.215,NA,NA,NA,NA,NA,132.9510645,5.114,FALSE
41,1/14/2011,22.44,2.911,NA,NA,NA,NA,NA,191.4784939,7.241,FALSE
42,1/14/2011,49.98,3.312,NA,NA,NA,NA,NA,127.3009355,8.744,FALSE
43,1/14/2011,43.45,2.983,NA,NA,NA,NA,NA,203.4840645,10.398,FALSE
44,1/14/2011,20.6,2.903,NA,NA,NA,NA,NA,127.3009355,7.224,FALSE
45,1/14/2011,24.78,3.205,NA,NA,NA,NA,NA,182.6585782,8.549,FALSE
4,1/21/2011,38.34,3.017,NA,NA,NA,NA,NA,127.4404839,6.51,FALSE
5,1/21/2011,45.41,3.016,NA,NA,NA,NA,NA,212.3800012,6.634,FALSE
6,1/21/2011,46.2,3.016,NA,NA,NA,NA,NA,213.3399647,6.858,FALSE
7,1/21/2011,25.4,2.973,NA,NA,NA,NA,NA,191.5731924,8.818,FALSE
8,1/21/2011,42.06,3.016,NA,NA,NA,NA,NA,215.1729926,6.262,FALSE
9,1/21/2011,44.72,3.016,NA,NA,NA,NA,NA,215.3554013,6.416,FALSE
10,1/21/2011,56.75,3.336,NA,NA,NA,NA,NA,127.4404839,8.744,FALSE
11,1/21/2011,51.51,3.016,NA,NA,NA,NA,NA,215.1268275,7.551,FALSE
12,1/21/2011,53.53,3.223,NA,NA,NA,NA,NA,127.4404839,14.021,FALSE
13,1/21/2011,34.8,2.934,NA,NA,NA,NA,NA,127.4404839,7.47,FALSE
14,1/21/2011,30.55,3.229,NA,NA,NA,NA,NA,182.9193368,8.549,FALSE
15,1/21/2011,21.84,3.391,NA,NA,NA,NA,NA,133.0285161,7.771,FALSE
16,1/21/2011,28.6,2.973,NA,NA,NA,NA,NA,191.5731924,6.614,FALSE
17,1/21/2011,26.62,2.934,NA,NA,NA,NA,NA,127.4404839,6.866,FALSE
18,1/21/2011,22.55,3.232,NA,NA,NA,NA,NA,133.0285161,9.131,FALSE
19,1/21/2011,22.8,3.391,NA,NA,NA,NA,NA,133.0285161,7.771,FALSE
20,1/21/2011,27.43,3.229,NA,NA,NA,NA,NA,205.0460497,7.343,FALSE
21,1/21/2011,42.72,3.016,NA,NA,NA,NA,NA,211.4864691,8.028,FALSE
22,1/21/2011,26.8,3.232,NA,NA,NA,NA,NA,136.8870657,8.458,FALSE
23,1/21/2011,15.58,3.232,NA,NA,NA,NA,NA,133.0285161,5.114,FALSE
24,1/21/2011,23.69,3.391,NA,NA,NA,NA,NA,133.0285161,8.252,FALSE
25,1/21/2011,23.21,3.229,NA,NA,NA,NA,NA,205.0460497,7.343,FALSE
26,1/21/2011,12.98,3.232,NA,NA,NA,NA,NA,133.0285161,7.907,FALSE
27,1/21/2011,30.13,3.391,NA,NA,NA,NA,NA,136.8870657,7.827,FALSE
28,1/21/2011,53.53,3.223,NA,NA,NA,NA,NA,127.4404839,14.021,FALSE
29,1/21/2011,26.8,3.232,NA,NA,NA,NA,NA,133.0285161,10.256,FALSE
30,1/21/2011,42.72,3.016,NA,NA,NA,NA,NA,211.4864691,8.028,FALSE
31,1/21/2011,42.72,3.016,NA,NA,NA,NA,NA,211.4864691,8.028,FALSE
32,1/21/2011,34.54,2.973,NA,NA,NA,NA,NA,191.5731924,8.818,FALSE
33,1/21/2011,59.46,3.336,NA,NA,NA,NA,NA,127.4404839,8.951,FALSE
34,1/21/2011,39.57,3.017,NA,NA,NA,NA,NA,127.4404839,10.398,FALSE
35,1/21/2011,30.13,3.229,NA,NA,NA,NA,NA,136.8870657,8.549,FALSE
36,1/21/2011,51.18,2.98,NA,NA,NA,NA,NA,210.6031072,8.395,FALSE
37,1/21/2011,51.18,3.016,NA,NA,NA,NA,NA,210.6031072,8.395,FALSE
38,1/21/2011,53.53,3.223,NA,NA,NA,NA,NA,127.4404839,14.021,FALSE
39,1/21/2011,50.25,3.016,NA,NA,NA,NA,NA,210.6031072,8.395,FALSE
40,1/21/2011,14.64,3.232,NA,NA,NA,NA,NA,133.0285161,5.114,FALSE
41,1/21/2011,32.7,2.973,NA,NA,NA,NA,NA,191.5731924,7.241,FALSE
42,1/21/2011,56.75,3.336,NA,NA,NA,NA,NA,127.4404839,8.744,FALSE
43,1/21/2011,53.05,3.016,NA,NA,NA,NA,NA,203.8315161,10.398,FALSE
44,1/21/2011,34.8,2.934,NA,NA,NA,NA,NA,127.4404839,7.224,FALSE
45,1/21/2011,30.55,3.229,NA,NA,NA,NA,NA,182.9193368,8.549,FALSE
4,1/28/2011,40.6,3.022,NA,NA,NA,NA,NA,127.5800323,6.51,FALSE
5,1/28/2011,44.5,3.01,NA,NA,NA,NA,NA,212.7514884,6.634,FALSE
6,1/28/2011,44.98,3.01,NA,NA,NA,NA,NA,213.7143412,6.858,FALSE
7,1/28/2011,10.11,3.008,NA,NA,NA,NA,NA,191.667891,8.818,FALSE
8,1/28/2011,39.26,3.01,NA,NA,NA,NA,NA,215.5528862,6.262,FALSE
9,1/28/2011,43.9,3.01,NA,NA,NA,NA,NA,215.7358438,6.416,FALSE
10,1/28/2011,53.03,3.231,NA,NA,NA,NA,NA,127.5800323,8.744,FALSE
11,1/28/2011,51.04,3.01,NA,NA,NA,NA,NA,215.5065821,7.551,FALSE
12,1/28/2011,50.74,3.342,NA,NA,NA,NA,NA,127.5800323,14.021,FALSE
13,1/28/2011,31.64,2.96,NA,NA,NA,NA,NA,127.5800323,7.47,FALSE
14,1/28/2011,24.05,3.237,NA,NA,NA,NA,NA,183.1800955,8.549,FALSE
15,1/28/2011,19.61,3.402,NA,NA,NA,NA,NA,133.1059677,7.771,FALSE
16,1/28/2011,20.8,3.008,NA,NA,NA,NA,NA,191.667891,6.614,FALSE
17,1/28/2011,22.16,2.96,NA,NA,NA,NA,NA,127.5800323,6.866,FALSE
18,1/28/2011,14.84,3.243,NA,NA,NA,NA,NA,133.1059677,9.131,FALSE
19,1/28/2011,20.66,3.402,NA,NA,NA,NA,NA,133.1059677,7.771,FALSE
20,1/28/2011,23.21,3.237,NA,NA,NA,NA,NA,205.3894952,7.343,FALSE
21,1/28/2011,44.04,3.01,NA,NA,NA,NA,NA,211.8552668,8.028,FALSE
22,1/28/2011,20.61,3.243,NA,NA,NA,NA,NA,136.9706544,8.458,FALSE
23,1/28/2011,10.91,3.243,NA,NA,NA,NA,NA,133.1059677,5.114,FALSE
24,1/28/2011,17.91,3.402,NA,NA,NA,NA,NA,133.1059677,8.252,FALSE
25,1/28/2011,18.92,3.237,NA,NA,NA,NA,NA,205.3894952,7.343,FALSE
26,1/28/2011,5.54,3.243,NA,NA,NA,NA,NA,133.1059677,7.907,FALSE
27,1/28/2011,23.64,3.402,NA,NA,NA,NA,NA,136.9706544,7.827,FALSE
28,1/28/2011,50.74,3.342,NA,NA,NA,NA,NA,127.5800323,14.021,FALSE
29,1/28/2011,20.61,3.243,NA,NA,NA,NA,NA,133.1059677,10.256,FALSE
30,1/28/2011,44.04,3.01,NA,NA,NA,NA,NA,211.8552668,8.028,FALSE
31,1/28/2011,44.04,3.01,NA,NA,NA,NA,NA,211.8552668,8.028,FALSE
32,1/28/2011,34.86,3.008,NA,NA,NA,NA,NA,191.667891,8.818,FALSE
33,1/28/2011,56.62,3.231,NA,NA,NA,NA,NA,127.5800323,8.951,FALSE
34,1/28/2011,34.68,3.022,NA,NA,NA,NA,NA,127.5800323,10.398,FALSE
35,1/28/2011,23.64,3.237,NA,NA,NA,NA,NA,136.9706544,8.549,FALSE
36,1/28/2011,48.74,2.995,NA,NA,NA,NA,NA,210.9682412,8.395,FALSE
37,1/28/2011,48.74,3.01,NA,NA,NA,NA,NA,210.9682412,8.395,FALSE
38,1/28/2011,50.74,3.342,NA,NA,NA,NA,NA,127.5800323,14.021,FALSE
39,1/28/2011,47.94,3.01,NA,NA,NA,NA,NA,210.9682412,8.395,FALSE
40,1/28/2011,9.51,3.243,NA,NA,NA,NA,NA,133.1059677,5.114,FALSE
41,1/28/2011,32.23,3.008,NA,NA,NA,NA,NA,191.667891,7.241,FALSE
42,1/28/2011,53.03,3.231,NA,NA,NA,NA,NA,127.5800323,8.744,FALSE
43,1/28/2011,44.98,3.01,NA,NA,NA,NA,NA,204.1789677,10.398,FALSE
44,1/28/2011,31.64,2.96,NA,NA,NA,NA,NA,127.5800323,7.224,FALSE
45,1/28/2011,24.05,3.237,NA,NA,NA,NA,NA,183.1800955,8.549,FALSE
4,2/4/2011,34.61,2.996,NA,NA,NA,NA,NA,127.7195806,6.51,FALSE
5,2/4/2011,41.67,2.989,NA,NA,NA,NA,NA,213.1229755,6.634,FALSE
6,2/4/2011,40.59,2.989,NA,NA,NA,NA,NA,214.0887176,6.858,FALSE
7,2/4/2011,-2.06,3.011,NA,NA,NA,NA,NA,191.7625895,8.818,FALSE
8,2/4/2011,24.48,2.989,NA,NA,NA,NA,NA,215.9327797,6.262,FALSE
9,2/4/2011,31.82,2.989,NA,NA,NA,NA,NA,216.1162864,6.416,FALSE
10,2/4/2011,44.88,3.348,NA,NA,NA,NA,NA,127.7195806,8.744,FALSE
11,2/4/2011,47.17,2.989,NA,NA,NA,NA,NA,215.8863367,7.551,FALSE
12,2/4/2011,45.14,3.348,NA,NA,NA,NA,NA,127.7195806,14.021,FALSE
13,2/4/2011,23.35,2.974,NA,NA,NA,NA,NA,127.7195806,7.47,FALSE
14,2/4/2011,28.73,3.231,NA,NA,NA,NA,NA,183.4408542,8.549,FALSE
15,2/4/2011,20.69,3.4,NA,NA,NA,NA,NA,133.1834194,7.771,FALSE
16,2/4/2011,13.64,3.011,NA,NA,NA,NA,NA,191.7625895,6.614,FALSE
17,2/4/2011,11.29,2.974,NA,NA,NA,NA,NA,127.7195806,6.866,FALSE
18,2/4/2011,20.79,3.24,NA,NA,NA,NA,NA,133.1834194,9.131,FALSE
19,2/4/2011,21.02,3.4,NA,NA,NA,NA,NA,133.1834194,7.771,FALSE
20,2/4/2011,28.58,3.231,NA,NA,NA,NA,NA,205.7329407,7.343,FALSE
21,2/4/2011,36.33,2.989,NA,NA,NA,NA,NA,212.2240646,8.028,FALSE
22,2/4/2011,26.39,3.24,NA,NA,NA,NA,NA,137.0542431,8.458,FALSE
23,2/4/2011,14.5,3.24,NA,NA,NA,NA,NA,133.1834194,5.114,FALSE
24,2/4/2011,23.83,3.4,NA,NA,NA,NA,NA,133.1834194,8.252,FALSE
25,2/4/2011,23.94,3.231,NA,NA,NA,NA,NA,205.7329407,7.343,FALSE
26,2/4/2011,11.17,3.24,NA,NA,NA,NA,NA,133.1834194,7.907,FALSE
27,2/4/2011,28.7,3.4,NA,NA,NA,NA,NA,137.0542431,7.827,FALSE
28,2/4/2011,45.14,3.348,NA,NA,NA,NA,NA,127.7195806,14.021,FALSE
29,2/4/2011,26.39,3.24,NA,NA,NA,NA,NA,133.1834194,10.256,FALSE
30,2/4/2011,36.33,2.989,NA,NA,NA,NA,NA,212.2240646,8.028,FALSE
31,2/4/2011,36.33,2.989,NA,NA,NA,NA,NA,212.2240646,8.028,FALSE
32,2/4/2011,15.47,3.011,NA,NA,NA,NA,NA,191.7625895,8.818,FALSE
33,2/4/2011,49.26,3.348,NA,NA,NA,NA,NA,127.7195806,8.951,FALSE
34,2/4/2011,23.82,2.996,NA,NA,NA,NA,NA,127.7195806,10.398,FALSE
35,2/4/2011,28.7,3.231,NA,NA,NA,NA,NA,137.0542431,8.549,FALSE
36,2/4/2011,46.68,2.98,NA,NA,NA,NA,NA,211.3333753,8.395,FALSE
37,2/4/2011,46.68,2.989,NA,NA,NA,NA,NA,211.3333753,8.395,FALSE
38,2/4/2011,45.14,3.348,NA,NA,NA,NA,NA,127.7195806,14.021,FALSE
39,2/4/2011,45.96,2.989,NA,NA,NA,NA,NA,211.3333753,8.395,FALSE
40,2/4/2011,13.29,3.24,NA,NA,NA,NA,NA,133.1834194,5.114,FALSE
41,2/4/2011,14.56,3.011,NA,NA,NA,NA,NA,191.7625895,7.241,FALSE
42,2/4/2011,44.88,3.348,NA,NA,NA,NA,NA,127.7195806,8.744,FALSE
43,2/4/2011,33.21,2.989,NA,NA,NA,NA,NA,204.5264194,10.398,FALSE
44,2/4/2011,23.35,2.974,NA,NA,NA,NA,NA,127.7195806,7.224,FALSE
45,2/4/2011,28.73,3.231,NA,NA,NA,NA,NA,183.4408542,8.549,FALSE
4,2/11/2011,33.29,3.033,NA,NA,NA,NA,NA,127.859129,6.51,TRUE
5,2/11/2011,38.25,3.022,NA,NA,NA,NA,NA,213.4944627,6.634,TRUE
6,2/11/2011,39.38,3.022,NA,NA,NA,NA,NA,214.4630941,6.858,TRUE
7,2/11/2011,10.24,3.037,NA,NA,NA,NA,NA,191.8572881,8.818,TRUE
8,2/11/2011,28.26,3.022,NA,NA,NA,NA,NA,216.3126733,6.262,TRUE
9,2/11/2011,34.13,3.022,NA,NA,NA,NA,NA,216.496729,6.416,TRUE
10,2/11/2011,51.51,3.381,NA,NA,NA,NA,NA,127.859129,8.744,TRUE
11,2/11/2011,44.61,3.022,NA,NA,NA,NA,NA,216.2660913,7.551,TRUE
12,2/11/2011,51.3,3.381,NA,NA,NA,NA,NA,127.859129,14.021,TRUE
13,2/11/2011,30.83,3.034,NA,NA,NA,NA,NA,127.859129,7.47,TRUE
14,2/11/2011,30.3,3.239,NA,NA,NA,NA,NA,183.7016129,8.549,TRUE
15,2/11/2011,21.64,3.416,NA,NA,NA,NA,NA,133.260871,7.771,TRUE
16,2/11/2011,15.02,3.037,NA,NA,NA,NA,NA,191.8572881,6.614,TRUE
17,2/11/2011,14.19,3.034,NA,NA,NA,NA,NA,127.859129,6.866,TRUE
18,2/11/2011,24.3,3.255,NA,NA,NA,NA,NA,133.260871,9.131,TRUE
19,2/11/2011,21.79,3.416,NA,NA,NA,NA,NA,133.260871,7.771,TRUE
20,2/11/2011,25.38,3.239,NA,NA,NA,NA,NA,206.0763862,7.343,TRUE
21,2/11/2011,34.61,3.022,NA,NA,NA,NA,NA,212.5928624,8.028,TRUE
22,2/11/2011,28.89,3.255,NA,NA,NA,NA,NA,137.1378318,8.458,TRUE
23,2/11/2011,21.52,3.255,NA,NA,NA,NA,NA,133.260871,5.114,TRUE
24,2/11/2011,26.51,3.416,NA,NA,NA,NA,NA,133.260871,8.252,TRUE
25,2/11/2011,21.18,3.239,NA,NA,NA,NA,NA,206.0763862,7.343,TRUE
26,2/11/2011,15.12,3.255,NA,NA,NA,NA,NA,133.260871,7.907,TRUE
27,2/11/2011,30.45,3.416,NA,NA,NA,NA,NA,137.1378318,7.827,TRUE
28,2/11/2011,51.3,3.381,NA,NA,NA,NA,NA,127.859129,14.021,TRUE
29,2/11/2011,28.89,3.255,NA,NA,NA,NA,NA,133.260871,10.256,TRUE
30,2/11/2011,34.61,3.022,NA,NA,NA,NA,NA,212.5928624,8.028,TRUE
31,2/11/2011,34.61,3.022,NA,NA,NA,NA,NA,212.5928624,8.028,TRUE
32,2/11/2011,18.51,3.037,NA,NA,NA,NA,NA,191.8572881,8.818,TRUE
33,2/11/2011,53.35,3.381,NA,NA,NA,NA,NA,127.859129,8.951,TRUE
34,2/11/2011,28.66,3.033,NA,NA,NA,NA,NA,127.859129,10.398,TRUE
35,2/11/2011,30.45,3.239,NA,NA,NA,NA,NA,137.1378318,8.549,TRUE
36,2/11/2011,41.16,3.009,NA,NA,NA,NA,NA,211.6985093,8.395,TRUE
37,2/11/2011,41.16,3.022,NA,NA,NA,NA,NA,211.6985093,8.395,TRUE
38,2/11/2011,51.3,3.381,NA,NA,NA,NA,NA,127.859129,14.021,TRUE
39,2/11/2011,40.34,3.022,NA,NA,NA,NA,NA,211.6985093,8.395,TRUE
40,2/11/2011,16.87,3.255,NA,NA,NA,NA,NA,133.260871,5.114,TRUE
41,2/11/2011,16.81,3.037,NA,NA,NA,NA,NA,191.8572881,7.241,TRUE
42,2/11/2011,51.51,3.381,NA,NA,NA,NA,NA,127.859129,8.744,TRUE
43,2/11/2011,40.65,3.022,NA,NA,NA,NA,NA,204.873871,10.398,TRUE
44,2/11/2011,30.83,3.034,NA,NA,NA,NA,NA,127.859129,7.224,TRUE
45,2/11/2011,30.3,3.239,NA,NA,NA,NA,NA,183.7016129,8.549,TRUE
4,2/18/2011,48.17,3.058,NA,NA,NA,NA,NA,127.99525,6.51,FALSE
5,2/18/2011,58.83,3.045,NA,NA,NA,NA,NA,213.8068304,6.634,FALSE
6,2/18/2011,59.61,3.045,NA,NA,NA,NA,NA,214.7775231,6.858,FALSE
7,2/18/2011,17.3,3.051,NA,NA,NA,NA,NA,191.9178331,8.818,FALSE
8,2/18/2011,50.64,3.045,NA,NA,NA,NA,NA,216.6310383,6.262,FALSE
9,2/18/2011,58.5,3.045,NA,NA,NA,NA,NA,216.8154856,6.416,FALSE
10,2/18/2011,61.77,3.43,NA,NA,NA,NA,NA,127.99525,8.744,FALSE
11,2/18/2011,61.5,3.045,NA,NA,NA,NA,NA,216.5843571,7.551,FALSE
12,2/18/2011,53.35,3.43,NA,NA,NA,NA,NA,127.99525,14.021,FALSE
13,2/18/2011,40.85,3.062,NA,NA,NA,NA,NA,127.99525,7.47,FALSE
14,2/18/2011,40.7,3.245,NA,NA,NA,NA,NA,183.9371353,8.549,FALSE
15,2/18/2011,33.06,3.42,NA,NA,NA,NA,NA,133.3701429,7.771,FALSE
16,2/18/2011,27.18,3.051,NA,NA,NA,NA,NA,191.9178331,6.614,FALSE
17,2/18/2011,26.86,3.062,NA,NA,NA,NA,NA,127.99525,6.866,FALSE
18,2/18/2011,31.59,3.263,NA,NA,NA,NA,NA,133.3701429,9.131,FALSE
19,2/18/2011,34.74,3.42,NA,NA,NA,NA,NA,133.3701429,7.771,FALSE
20,2/18/2011,42.95,3.245,NA,NA,NA,NA,NA,206.3694701,7.343,FALSE
21,2/18/2011,59.87,3.045,NA,NA,NA,NA,NA,212.9033115,8.028,FALSE
22,2/18/2011,35.34,3.263,NA,NA,NA,NA,NA,137.2511849,8.458,FALSE
23,2/18/2011,26.6,3.263,NA,NA,NA,NA,NA,133.3701429,5.114,FALSE
24,2/18/2011,34.04,3.42,NA,NA,NA,NA,NA,133.3701429,8.252,FALSE
25,2/18/2011,38.42,3.245,NA,NA,NA,NA,NA,206.3694701,7.343,FALSE
26,2/18/2011,19.63,3.263,NA,NA,NA,NA,NA,133.3701429,7.907,FALSE
27,2/18/2011,39.32,3.42,NA,NA,NA,NA,NA,137.2511849,7.827,FALSE
28,2/18/2011,53.35,3.43,NA,NA,NA,NA,NA,127.99525,14.021,FALSE
29,2/18/2011,35.34,3.263,NA,NA,NA,NA,NA,133.3701429,10.256,FALSE
30,2/18/2011,59.87,3.045,NA,NA,NA,NA,NA,212.9033115,8.028,FALSE
31,2/18/2011,59.87,3.045,NA,NA,NA,NA,NA,212.9033115,8.028,FALSE
32,2/18/2011,42.09,3.051,NA,NA,NA,NA,NA,191.9178331,8.818,FALSE
33,2/18/2011,62.03,3.43,NA,NA,NA,NA,NA,127.99525,8.951,FALSE
34,2/18/2011,45.12,3.058,NA,NA,NA,NA,NA,127.99525,10.398,FALSE
35,2/18/2011,39.32,3.245,NA,NA,NA,NA,NA,137.2511849,8.549,FALSE
36,2/18/2011,57.48,3.017,NA,NA,NA,NA,NA,212.0063522,8.395,FALSE
37,2/18/2011,57.48,3.045,NA,NA,NA,NA,NA,212.0063522,8.395,FALSE
38,2/18/2011,53.35,3.43,NA,NA,NA,NA,NA,127.99525,14.021,FALSE
39,2/18/2011,58.2,3.045,NA,NA,NA,NA,NA,212.0063522,8.395,FALSE
40,2/18/2011,21.82,3.263,NA,NA,NA,NA,NA,133.3701429,5.114,FALSE
41,2/18/2011,39.39,3.051,NA,NA,NA,NA,NA,191.9178331,7.241,FALSE
42,2/18/2011,61.77,3.43,NA,NA,NA,NA,NA,127.99525,8.744,FALSE
43,2/18/2011,59.15,3.045,NA,NA,NA,NA,NA,205.1683214,10.398,FALSE
44,2/18/2011,40.85,3.062,NA,NA,NA,NA,NA,127.99525,7.224,FALSE
45,2/18/2011,40.7,3.245,NA,NA,NA,NA,NA,183.9371353,8.549,FALSE
4,2/25/2011,49,3.087,NA,NA,NA,NA,NA,128.13,6.51,FALSE
