Store,Dates,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
28,1/06/2012,50.43,3.599,5155.86,19549.51,218.29,636.73,5218.5,130.1575161,12.187,FALSE
29,1/06/2012,34.61,3.439,4557.94,13427.99,9.56,550.78,2053.68,136.698129,8.988,FALSE
30,1/06/2012,48.1,3.157,594.21,1905.66,91.16,4.92,855.1,219.355063,7.057,FALSE
31,1/06/2012,48.1,3.157,6105.78,25953.41,91.69,1254.6,6256.02,219.355063,7.057,FALSE
32,1/06/2012,36.75,3.095,4323.27,33209.84,208.29,1848.9,6197.53,196.5458309,8.256,FALSE
33,1/06/2012,60.92,3.443,42.92,1279.42,2.55,NA,246.46,130.1575161,7.603,FALSE
34,1/06/2012,36.39,3.158,5998.79,18094.69,104.92,351.55,2890.32,130.1575161,9.653,FALSE
35,1/06/2012,35.8,3.422,5956.88,13987.28,24.73,1685.24,6269.59,140.6461359,8.744,FALSE
36,1/06/2012,57.18,3.129,5.92,2257.39,2.86,NA,1024.9,218.4062876,7.244,FALSE
37,1/06/2012,57.18,3.157,250.83,1348.24,48.05,NA,1151.33,218.4062876,7.244,FALSE
38,1/06/2012,50.43,3.599,9.61,2765.45,56.96,NA,560.58,130.1575161,12.187,FALSE
39,1/06/2012,55.83,3.157,4525.51,23319.85,120.18,117.6,9638.2,218.4062876,7.244,FALSE
40,1/06/2012,23.29,3.439,3737.24,20629.4,169.85,954.18,4508.45,136.698129,4.261,FALSE
41,1/06/2012,37.21,3.095,6453.63,22866.83,126.87,2582.41,4266.94,196.5458309,6.589,FALSE
42,1/06/2012,59.85,3.443,2.91,2655.21,77.86,NA,649.61,130.1575161,7.545,FALSE
43,1/06/2012,47.59,3.157,32.95,1699.03,70.35,NA,1168.66,211.2428134,9.653,FALSE
44,1/06/2012,33.8,3.08,1.94,51.41,54.05,NA,809.1,130.1575161,5.774,FALSE
45,1/06/2012,35.88,3.422,7328.14,33378.79,34.6,1198.48,6819.1,189.1940558,8.424,FALSE
3,1/13/2012,51.86,3.261,3927.76,3323.64,NA,226.97,1725.19,223.3755259,6.833,FALSE
4,1/13/2012,34.41,3.263,3666.28,14553.37,76.37,820.37,5955.28,130.244,4.607,FALSE
5,1/13/2012,48.86,3.261,3408.93,3666.32,1.71,137.88,1706.42,220.4760185,5.943,FALSE
6,1/13/2012,48.33,3.261,4779.48,11967.81,65.72,575.13,4512.18,221.4893412,6.132,FALSE
7,1/13/2012,7.46,3.077,3167.26,5926.48,0.54,191.84,1415.69,196.7330517,8.256,FALSE
8,1/13/2012,36.46,3.261,6725.29,12764.99,15.98,299.73,3851.69,223.4242571,5.825,FALSE
9,1/13/2012,42.44,3.261,4731.1,2959.36,NA,129.27,3416.48,223.6168049,5.667,FALSE
10,1/13/2012,51,3.477,5203.77,14424.42,1.38,597.55,5659.57,130.244,7.545,FALSE
11,1/13/2012,53.1,3.261,7153.87,4831.34,39.14,590.68,8698.99,223.3755259,6.833,FALSE
12,1/13/2012,48.07,3.657,6935.5,23438.57,NA,2289.8,9526.73,130.244,12.187,FALSE
13,1/13/2012,25.61,3.056,3627.07,14887.88,119.93,798.48,4668.82,130.244,6.104,FALSE
14,1/13/2012,41.18,3.513,4605.8,21593.85,636.54,727.57,4054.79,189.3260962,8.424,FALSE
15,1/13/2012,36.26,3.666,1684.66,8959.27,1,487.76,542.9,136.753,7.943,FALSE
16,1/13/2012,19.55,3.077,1353.58,2551.73,0.24,289.67,1899.49,196.7330517,6.162,FALSE
17,1/13/2012,20.28,3.056,1552.86,3911.73,0.52,542.24,1709.97,130.244,6.403,FALSE
18,1/13/2012,35.25,3.523,3761.79,22411.4,10.54,807.3,2977.83,136.753,8.075,FALSE
19,1/13/2012,37.08,3.666,3504.09,11505.42,291.37,1698.88,5451.32,136.753,7.943,FALSE
20,1/13/2012,37.79,3.513,3627.81,18632.14,108.48,847.7,3614.04,212.7386486,6.961,FALSE
21,1/13/2012,45,3.261,4873.12,13367.98,0.46,396.66,1861.16,219.5328198,7.057,FALSE
22,1/13/2012,39,3.523,2325.12,19455.8,6.06,520.21,5824.45,140.7048214,7.503,FALSE
23,1/13/2012,28.49,3.523,2766.24,15216.56,4.84,807.22,2273.23,136.753,4.261,FALSE
24,1/13/2012,36.5,3.666,3545.34,8743.62,127.43,819.74,4434.08,136.753,8.659,FALSE
25,1/13/2012,34.6,3.513,2459.51,10718.26,0.92,506.45,3277.12,212.7386486,6.961,FALSE
26,1/13/2012,25.55,3.523,2153.82,6050.57,62.24,275.03,2511.4,136.753,7.467,FALSE
27,1/13/2012,41.3,3.666,8081.05,16237.87,542.46,643.15,6238.31,140.7048214,8.009,FALSE
28,1/13/2012,48.07,3.657,4649.73,1843.24,45.3,869.64,7935.42,130.244,12.187,FALSE
29,1/13/2012,39,3.523,1789.85,7403.46,0.06,2.5,2512.9,136.753,8.988,FALSE
30,1/13/2012,45,3.261,157.23,452.88,51.64,NA,916.52,219.5328198,7.057,FALSE
31,1/13/2012,45,3.261,4371.53,14136.14,54.52,719.85,3942.03,219.5328198,7.057,FALSE
32,1/13/2012,28.99,3.077,2682.32,14928.54,211.06,1049.44,3137.59,196.7330517,8.256,FALSE
33,1/13/2012,54.61,3.477,370.06,70.73,7.02,NA,671.89,130.244,7.603,FALSE
34,1/13/2012,33.99,3.263,2514.23,8431.82,48.38,186.59,4699.39,130.244,9.653,FALSE
35,1/13/2012,41.3,3.513,2428.51,7532.95,2.28,413.26,3750.02,140.7048214,8.744,FALSE
36,1/13/2012,56.28,3.254,15.85,1402.86,7.04,NA,858.31,218.5823389,7.244,FALSE
37,1/13/2012,56.28,3.261,1534.85,581.46,31.07,NA,820.26,218.5823389,7.244,FALSE
38,1/13/2012,48.07,3.657,1129.45,125.33,31.85,NA,1101.74,130.244,12.187,FALSE
39,1/13/2012,54.66,3.261,7924.93,13698.33,83.04,477.43,10488.23,218.5823389,7.244,FALSE
40,1/13/2012,25.9,3.523,1128.25,8721.23,129.34,393.68,3221.84,136.753,4.261,FALSE
41,1/13/2012,27.49,3.077,1934.8,14627.46,112.2,542.89,4044.44,196.7330517,6.589,FALSE
42,1/13/2012,51,3.477,1251.87,2536.15,21.1,NA,515.26,130.244,7.545,FALSE
43,1/13/2012,43.68,3.261,894.04,209.71,32.36,NA,1191.88,211.4115714,9.653,FALSE
44,1/13/2012,25.61,3.056,1074.17,27.6,48.39,NA,545.15,130.244,5.774,FALSE
45,1/13/2012,41.18,3.513,3489.73,11219.72,0.92,489.07,9596.29,189.3260962,8.424,FALSE
3,1/20/2012,56.2,3.268,720.82,1629.26,1.46,16.05,799.5,223.4700552,6.833,FALSE
4,1/20/2012,42.09,3.273,2109.41,7040.02,44.16,918.36,1116.83,130.2792258,4.607,FALSE
5,1/20/2012,54.65,3.268,761.25,2100.24,NA,132.63,1276.75,220.5694104,5.943,FALSE
6,1/20/2012,55.37,3.268,3413.91,1540.99,33.02,449.06,6587.63,221.5831306,6.132,FALSE
7,1/20/2012,27.41,3.055,1967.73,2791.5,0.73,213.86,4297.27,196.7796652,8.256,FALSE
8,1/20/2012,46.81,3.268,1643.08,1055.47,9.02,411.88,3161.92,223.5188055,5.825,FALSE
9,1/20/2012,51.56,3.268,910.51,234.36,NA,117.08,6081.04,223.7114288,5.667,FALSE
10,1/20/2012,54.51,3.66,2972.31,3286.44,1,644.03,5331.52,130.2792258,7.545,FALSE
11,1/20/2012,56.43,3.268,2421.89,1803.64,37.76,297.73,2282.23,223.4700552,6.833,FALSE
12,1/20/2012,46.2,3.66,4167.27,5161.57,5.84,2552.39,3854.53,130.2792258,12.187,FALSE
13,1/20/2012,32.71,3.047,3150.56,6765.52,87.63,1196.17,3136.96,130.2792258,6.104,FALSE
14,1/20/2012,31.85,3.533,5037.95,4952.93,860.9,2560.08,5386.74,189.4214733,8.424,FALSE
15,1/20/2012,21.39,3.705,2637.43,3151.32,NA,265.47,2257.53,136.8564194,7.943,FALSE
16,1/20/2012,29.3,3.055,2087.19,1399.47,5.58,75.83,4742.74,196.7796652,6.162,FALSE
17,1/20/2012,27.26,3.047,1461.59,577.33,NA,442.39,1407.74,130.2792258,6.403,FALSE
18,1/20/2012,24.2,3.542,4209.35,5114.77,3.66,414.31,965.11,136.8564194,8.075,FALSE
19,1/20/2012,23.44,3.705,5571.99,5702.57,225.06,1122.08,2863.93,136.8564194,7.943,FALSE
20,1/20/2012,27.65,3.533,2465.98,5030.4,106.54,999.54,3380.92,212.8336399,6.961,FALSE
21,1/20/2012,52.21,3.268,4436,1092.91,3.46,387.92,3943.31,219.6258417,7.057,FALSE
22,1/20/2012,29.16,3.542,1697.47,7401.88,2.73,1934.2,7147.3,140.8086118,7.503,FALSE
23,1/20/2012,15.33,3.542,2437.41,4576.79,NA,2251.32,1848.96,136.8564194,4.261,FALSE
24,1/20/2012,25.73,3.705,2809.05,7169.67,171.45,730.64,3663.25,136.8564194,8.659,FALSE
25,1/20/2012,23.87,3.533,577.2,3417.28,4,5.85,1684.31,212.8336399,6.961,FALSE
26,1/20/2012,15.22,3.542,1673.31,3004.75,27.82,153.3,2092.05,136.8564194,7.467,FALSE
27,1/20/2012,30.35,3.705,2754.17,9280.81,465.77,2567.91,1550.34,140.8086118,8.009,FALSE
28,1/20/2012,46.2,3.66,5177.01,1280.59,23.75,716.52,6009.03,130.2792258,12.187,FALSE
29,1/20/2012,29.16,3.542,2021.51,2502.83,4.65,383.01,2842.32,136.8564194,8.988,FALSE
30,1/20/2012,52.21,3.268,1084.35,3.47,36.96,NA,344.93,219.6258417,7.057,FALSE
31,1/20/2012,52.21,3.268,3918.1,2626.22,74.41,167.56,3302.94,219.6258417,7.057,FALSE
32,1/20/2012,36.86,3.055,1856.91,6229.68,214.77,887.78,5684.68,196.7796652,8.256,FALSE
33,1/20/2012,55.99,3.66,234.48,61.51,3.64,NA,317.59,130.2792258,7.603,FALSE
34,1/20/2012,39.28,3.273,1358.95,3015.89,27.49,255.88,2402.57,130.2792258,9.653,FALSE
35,1/20/2012,30.35,3.533,2498.37,4413.52,5.46,618.55,2393.77,140.8086118,8.744,FALSE
36,1/20/2012,58.9,3.275,318.15,294.59,1.98,NA,589.99,218.6755292,7.244,FALSE
37,1/20/2012,58.9,3.268,366.42,313.91,27.94,NA,344.84,218.6755292,7.244,FALSE
38,1/20/2012,46.2,3.66,465.73,17.03,28.02,NA,1397.31,130.2792258,12.187,FALSE
39,1/20/2012,58.04,3.268,919.82,4005.7,90.56,525.75,1798.51,218.6755292,7.244,FALSE
40,1/20/2012,14.02,3.542,1658.12,4319.36,101.86,79.54,1831.29,136.8564194,4.261,FALSE
41,1/20/2012,31.56,3.055,2827.98,3671.37,119.55,530.03,1924.99,196.7796652,6.589,FALSE
42,1/20/2012,54.51,3.66,604.05,1982.9,NA,NA,343.93,130.2792258,7.545,FALSE
43,1/20/2012,52.72,3.268,320.8,24.36,31.72,NA,153.04,211.4997811,9.653,FALSE
44,1/20/2012,32.71,3.047,378.2,22.42,66,NA,481.09,130.2792258,5.774,FALSE
45,1/20/2012,31.85,3.533,3205.9,4038.51,2.19,488.63,2344.09,189.4214733,8.424,FALSE
3,1/27/2012,58.06,3.29,774.55,349.99,NA,4,328.72,223.5645845,6.833,FALSE
4,1/27/2012,40.31,3.29,1346.06,3740.12,46.16,445.47,2451.89,130.3144516,4.607,FALSE
5,1/27/2012,54.63,3.29,573.64,969.68,NA,12,861.28,220.6628023,5.943,FALSE
6,1/27/2012,53.95,3.29,1510.59,630.92,37.1,17,2641.9,221.6769199,6.132,FALSE
7,1/27/2012,26.9,3.038,747.21,559.46,NA,47,2332.92,196.8262786,8.256,FALSE
8,1/27/2012,45.52,3.29,6065.01,730.16,15.18,30.28,24241.12,223.6133539,5.825,FALSE
9,1/27/2012,49.38,3.29,489.19,283.85,NA,22.5,2888.79,223.8060527,5.667,FALSE
10,1/27/2012,53.59,3.675,3242.59,1646.86,NA,45.8,1691.83,130.3144516,7.545,FALSE
11,1/27/2012,58.36,3.29,708.33,1631.94,49.3,3,2116.1,223.5645845,6.833,FALSE
12,1/27/2012,50.43,3.675,1201.31,631.79,NA,104.69,1050.85,130.3144516,12.187,FALSE
13,1/27/2012,34.32,3.058,3743,3744.31,108.46,253.99,3511.82,130.3144516,6.104,FALSE
14,1/27/2012,37.93,3.567,3468.31,2195.14,689.52,252.01,2128.36,189.5168505,8.424,FALSE
15,1/27/2012,30.87,3.737,875.81,2072.02,NA,58.58,1418.14,136.9598387,7.943,FALSE
16,1/27/2012,28.17,3.038,612.01,1011.32,NA,8.41,2482.91,196.8262786,6.162,FALSE
17,1/27/2012,29.99,3.058,1834.7,684.22,NA,118,1109.1,130.3144516,6.403,FALSE
18,1/27/2012,30.44,3.568,3237.56,3060.93,NA,22.5,653.02,136.9598387,8.075,FALSE
19,1/27/2012,32.41,3.737,3112.37,4031.78,289.74,20.97,2353.81,136.9598387,7.943,FALSE
20,1/27/2012,37.19,3.567,1023.6,3044.15,106.08,52.87,2447.73,212.9286312,6.961,FALSE
21,1/27/2012,50.79,3.29,714.08,602.88,NA,18.42,2562.85,219.7188636,7.057,FALSE
22,1/27/2012,35.68,3.568,1048.86,4022.06,NA,9.88,2507.98,140.9124021,7.503,FALSE
23,1/27/2012,25.71,3.568,957.2,3319.68,NA,9,1709.6,136.9598387,4.261,FALSE
24,1/27/2012,31.92,3.737,755.78,4142.75,190.3,90.5,2594.66,136.9598387,8.659,FALSE
25,1/27/2012,32.24,3.567,2683.99,2193.97,NA,901.08,2783.8,212.9286312,6.961,FALSE
26,1/27/2012,24.16,3.568,812.2,1267.64,32.5,13.76,1914.38,136.9598387,7.467,FALSE
27,1/27/2012,36.96,3.737,2789.03,4172.39,589.24,101.5,3857.29,140.9124021,8.009,FALSE
28,1/27/2012,50.43,3.675,1657.67,887,30.97,222.42,4291.52,130.3144516,12.187,FALSE
29,1/27/2012,35.68,3.568,961.63,2011.62,0.73,117.38,1504.22,136.9598387,8.988,FALSE
30,1/27/2012,50.79,3.29,246.62,NA,49.06,42.84,421.39,219.7188636,7.057,FALSE
31,1/27/2012,50.79,3.29,2391.52,1189.61,50.82,313.76,4791.34,219.7188636,7.057,FALSE
32,1/27/2012,36.67,3.038,1212.68,2986.04,177.27,69.87,2324.48,196.8262786,8.256,FALSE
33,1/27/2012,56.33,3.675,12.6,12.47,3.38,NA,375.54,130.3144516,7.603,FALSE
34,1/27/2012,39.81,3.29,387.48,1594.36,18.98,13.35,769.52,130.3144516,9.653,FALSE
35,1/27/2012,36.96,3.567,2798.44,2928.52,1.46,446,9008.25,140.9124021,8.744,FALSE
36,1/27/2012,62.73,3.313,35.96,17.03,0.44,NA,381.04,218.7687195,7.244,FALSE
37,1/27/2012,62.73,3.29,186.28,27.75,33,NA,323.83,218.7687195,7.244,FALSE
38,1/27/2012,50.43,3.675,24.1,4.47,29.12,NA,2271.88,130.3144516,12.187,FALSE
39,1/27/2012,60.65,3.29,1119.34,2578.64,82.5,4,1647.3,218.7687195,7.244,FALSE
40,1/27/2012,22.91,3.568,388.59,1327.78,126.72,38.29,1619.57,136.9598387,4.261,FALSE
41,1/27/2012,33.15,3.038,2464.6,2126.51,112.01,129.54,817.31,196.8262786,6.589,FALSE
42,1/27/2012,53.59,3.675,2.4,539.32,NA,NA,816.91,130.3144516,7.545,FALSE
43,1/27/2012,52.1,3.29,122.11,8.64,26.26,NA,532.33,211.5879908,9.653,FALSE
44,1/27/2012,34.32,3.058,17.76,12.28,63.36,NA,224.86,130.3144516,5.774,FALSE
45,1/27/2012,37.93,3.567,1890.49,2618.49,NA,139.07,5692.74,189.5168505,8.424,FALSE
3,2/03/2012,59.33,3.36,9667.5,268.29,0.6,8368.15,804.24,223.6591137,6.833,FALSE
4,2/03/2012,41.81,3.354,50820.76,4033.29,285.11,48086.64,7456.15,130.3496774,4.607,FALSE
5,2/03/2012,57.35,3.36,23811.41,1349.62,23.82,14928.42,3186.52,220.7561941,5.943,FALSE
6,2/03/2012,57.45,3.36,36848.38,1772.68,161.55,28199.34,7151.33,221.7707093,6.132,FALSE
7,2/03/2012,22.2,3.031,56917.7,1839.82,4.53,16241.73,2414.97,196.8728921,8.256,FALSE
8,2/03/2012,45.56,3.36,41524.03,1412.41,83.15,18723.56,3886.31,223.7079023,5.825,FALSE
9,2/03/2012,54.43,3.36,19289.22,527.14,4.46,9955.21,3428.92,223.9006766,5.667,FALSE
10,2/03/2012,56.85,3.543,42468.4,1985.73,174.33,33345.34,5609.77,130.3496774,7.545,FALSE
11,2/03/2012,60.24,3.36,50909.18,1957.49,137.23,37091.67,6418.36,223.6591137,6.833,FALSE
12,2/03/2012,50.58,3.702,60740.64,3779.65,43.08,48403.53,20348.16,130.3496774,12.187,FALSE
13,2/03/2012,31.39,3.077,53423.29,5822.12,282.08,57817.56,9654.23,130.3496774,6.104,FALSE
14,2/03/2012,42.96,3.617,78124.5,4232.19,788.56,46081.94,14550.73,189.6122277,8.424,FALSE
15,2/03/2012,35.3,3.796,25565.53,3425.96,56.72,19303.94,3230.99,137.0632581,7.943,FALSE
16,2/03/2012,25.53,3.031,32702.46,747.82,2.39,8063.07,2940.68,196.8728921,6.162,FALSE
17,2/03/2012,26.26,3.077,32793.78,5509.47,38.96,35785.26,4518.58,130.3496774,6.403,FALSE
18,2/03/2012,37.62,3.633,19499.87,3227,424.44,43570.91,3158.83,137.0632581,8.075,FALSE
19,2/03/2012,36.22,3.796,51879.66,6433.83,394.18,52739.02,6473.61,137.0632581,7.943,FALSE
20,2/03/2012,39.93,3.617,58928.52,8766.77,226.27,53603.99,8301.25,213.0236225,6.961,FALSE
21,2/03/2012,55.83,3.36,24617.88,1598.17,41.45,25134.87,3110.22,219.8118854,7.057,FALSE
22,2/03/2012,40.58,3.633,88646.76,5196.77,27.71,57815.43,8823.94,141.0161924,7.503,FALSE
23,2/03/2012,29.71,3.633,35688.59,6055.11,132.8,43218.61,5335.65,137.0632581,4.261,FALSE
24,2/03/2012,38.61,3.796,65021.23,4189.09,254.01,47452.43,7146.25,137.0632581,8.659,FALSE
25,2/03/2012,34.98,3.617,38223.59,4566.23,21.92,42448.94,5621.09,213.0236225,6.961,FALSE
26,2/03/2012,25.24,3.633,35421.34,1596.92,74.14,20234.78,6541.84,137.0632581,7.467,FALSE
27,2/03/2012,42.52,3.796,62172.73,6256,530.81,67474.85,6129.6,141.0161924,8.009,FALSE
28,2/03/2012,50.58,3.702,44998.1,3682.17,182.6,39241.63,16008.79,130.3496774,12.187,FALSE
29,2/03/2012,40.58,3.633,23656.27,2347.13,110.26,11641.23,2548.96,137.0632581,8.988,FALSE
30,2/03/2012,55.83,3.36,843.22,2.82,64.81,192.66,2393.21,219.8118854,7.057,FALSE
31,2/03/2012,55.83,3.36,60394.73,2578.65,128.54,33529.14,7737.46,219.8118854,7.057,FALSE
32,2/03/2012,35.89,3.031,31506.24,4740.74,306.03,42702.46,7920.93,196.8728921,8.256,FALSE
33,2/03/2012,59.53,3.543,653.33,7.4,3.38,NA,773.27,130.3496774,7.603,FALSE
34,2/03/2012,38.64,3.354,24118.77,1767.26,91.24,14240.58,3833.23,130.3496774,9.653,FALSE
35,2/03/2012,42.52,3.617,62567.6,3718.52,41.68,40201.38,4130.12,141.0161924,8.744,FALSE
36,2/03/2012,61.33,3.421,1786.27,1.5,2.62,2.5,1373.38,218.8619099,7.244,FALSE
37,2/03/2012,61.33,3.36,1416.62,11.62,93.34,132.22,1757.37,218.8619099,7.244,FALSE
38,2/03/2012,50.58,3.702,2428.47,6.57,52.66,161.71,2606.06,130.3496774,12.187,FALSE
39,2/03/2012,60.69,3.36,44153.98,1873.54,228.69,31484.58,24354.2,218.8619099,7.244,FALSE
40,2/03/2012,27.86,3.633,37980.28,2731.05,108.41,23597.14,5940.88,137.0632581,4.261,FALSE
41,2/03/2012,31.65,3.031,42353.77,4696.86,231.92,46238.28,6379.49,196.8728921,6.589,FALSE
42,2/03/2012,56.85,3.543,1351.16,17.81,15.97,263.92,1415.88,130.3496774,7.545,FALSE
43,2/03/2012,51.92,3.36,1702.1,33.56,51.66,152.82,2211.81,211.6762005,9.653,FALSE
44,2/03/2012,31.39,3.077,1518.53,4,77.54,NA,1177.48,130.3496774,5.774,FALSE
45,2/03/2012,42.96,3.617,35348.47,4373.64,21.05,38157.91,5908.5,189.6122277,8.424,FALSE
3,2/10/2012,51.65,3.409,8687.47,1594.87,2.2,2144.87,2577.83,223.753643,6.833,TRUE
4,2/10/2012,33,3.411,11374.63,7208.51,118.37,12869.78,10618.93,130.3849032,4.607,TRUE
5,2/10/2012,48.57,3.409,4239.28,2725.8,1.53,3682.89,3234.79,220.849586,5.943,TRUE
6,2/10/2012,48.58,3.409,12635.19,5694.76,68.45,8976.17,6779.43,221.8644987,6.132,TRUE
7,2/10/2012,18.79,3.103,13100.37,3096.6,1.73,4854.7,6266.04,196.9195056,8.256,TRUE
8,2/10/2012,35.71,3.409,9332.6,3298.88,32.12,6530.08,4858.74,223.8024507,5.825,TRUE
9,2/10/2012,44.03,3.409,5619.8,1595.17,1.71,4740.66,4494.14,223.9953006,5.667,TRUE
10,2/10/2012,55.73,3.722,8414.22,861.38,66.96,6806.11,5723,130.3849032,7.545,TRUE
11,2/10/2012,52.23,3.409,12424.72,4575.75,81.74,8932.68,6987.67,223.753643,6.833,TRUE
12,2/10/2012,52.27,3.722,20281.03,2551.32,14.99,10597.74,7457.16,130.3849032,12.187,TRUE
13,2/10/2012,33.73,3.116,9264.48,8292.73,179.72,18849.21,9083.54,130.3849032,6.104,TRUE
14,2/10/2012,37,3.64,17118.97,6533.16,285.82,11597.23,6174.43,189.7076048,8.424,TRUE
15,2/10/2012,31.91,3.826,5140.44,5527.21,10.39,9439.38,6371.82,137.1666774,7.943,TRUE
16,2/10/2012,23.69,3.103,7247.14,985.13,0.45,9481.58,6298.1,196.9195056,6.162,TRUE
17,2/10/2012,23.63,3.116,5658.48,13498.72,16.27,4292.59,6008.71,130.3849032,6.403,TRUE
18,2/10/2012,32.83,3.655,36778.65,4105.7,222.56,16024.01,8840.68,137.1666774,8.075,TRUE
19,2/10/2012,32.61,3.826,12739.73,8415.91,279.21,16150.68,7888.04,137.1666774,7.943,TRUE
20,2/10/2012,33.47,3.64,9804,13171.55,132.42,16864.33,7535.63,213.1186138,6.961,TRUE
21,2/10/2012,46.52,3.409,26115.19,3985.95,13.1,16646.38,7628.83,219.9049073,7.057,TRUE
22,2/10/2012,35.68,3.655,10155.75,6392.28,3.34,9811.63,5448.98,141.1199827,7.503,TRUE
23,2/10/2012,26.6,3.655,8770.83,8403.67,56.54,9800.67,6133.9,137.1666774,4.261,TRUE
24,2/10/2012,33.82,3.826,11788.06,6777.04,73.29,11571.69,4451.85,137.1666774,8.659,TRUE
25,2/10/2012,32.47,3.64,17655.4,5620.25,12.82,16909.35,6645.05,213.1186138,6.961,TRUE
26,2/10/2012,23.89,3.655,5858.94,2569.2,13.42,5936.74,5874.01,137.1666774,7.467,TRUE
27,2/10/2012,37.86,3.826,15591.32,6206.22,249.82,14000.53,8024.91,141.1199827,8.009,TRUE
28,2/10/2012,52.27,3.722,20097.48,2774.5,66.42,16822.46,8228.86,130.3849032,12.187,TRUE
29,2/10/2012,35.68,3.655,15679.67,2427.87,4.36,4775.31,4026.33,137.1666774,8.988,TRUE
30,2/10/2012,46.52,3.409,2098.64,4,52.55,NA,1923.82,219.9049073,7.057,TRUE
31,2/10/2012,46.52,3.409,16946.96,3789.56,83.24,11187.79,8316.25,219.9049073,7.057,TRUE
32,2/10/2012,23.34,3.103,19784.57,9309.88,225.85,29483.81,5473.82,196.9195056,8.256,TRUE
33,2/10/2012,59.94,3.722,1437.28,1.5,4.94,NA,1244.96,130.3849032,7.603,TRUE
34,2/10/2012,36.7,3.411,16191.24,4394.52,58.87,11972.11,6375.39,130.3849032,9.653,TRUE
35,2/10/2012,37.86,3.64,11865.12,4373.03,23.69,11941.36,8357.61,141.1199827,8.744,TRUE
36,2/10/2012,54.49,3.462,810.75,5.5,3.82,NA,699.9,218.9551002,7.244,TRUE
37,2/10/2012,54.49,3.409,264.34,3,40.01,NA,2147.95,218.9551002,7.244,TRUE
38,2/10/2012,52.27,3.722,518.25,11.21,37.01,3.97,1200.97,130.3849032,12.187,TRUE
39,2/10/2012,52.89,3.409,6997.37,1891.53,115.26,7093.82,9198.59,218.9551002,7.244,TRUE
40,2/10/2012,23.92,3.655,10333.24,3700.62,66.01,11804.09,7697.87,137.1666774,4.261,TRUE
41,2/10/2012,22,3.103,8123.92,7618.89,127.05,13453.73,8066.43,196.9195056,6.589,TRUE
42,2/10/2012,55.73,3.722,992.73,13.93,25.7,NA,1700.95,130.3849032,7.545,TRUE
43,2/10/2012,46.54,3.409,565.9,NA,27.07,NA,1984.35,211.7644101,9.653,TRUE
